Description,English Text,Spanish,Russian,Brazilian-Portugese,French,German,Swedish,Pirate Speak,,
Throw tutorial (xbox),"""'X' button to throw""","""«X» para lanzar""","""""X"" - бросок""","""""X"" para arremessar""","""""X"" pour lancer""","""»X« zum Werfen""","""Tryck 'X' för att kasta""","""Mash th' ""X"" ta throw""",,""""""
Throw tutorial (ps4),"""X' button to throw""","""«X» para lanzar""","""""X"" - бросок""","""""X"" para arremessar""","""""X"" pour lancer""","""»X« zum Werfen""","""Tryck 'X' för att kasta""","""Mash th' ""X"" ta throw""",,""""""
Throw tutorial (keyboard),"""Left mouse to throw""","""«Clic izquierdo» para lanzar""","""ЛКМ - бросок""","""Clique esquerdo do mouse para arremessar""","""""Clic gauche"" pour lancer""","""Linksklick zum Werfen""","""Vänstra musknappen för att kasta""","""Mash th' left rat button ta throw""",,""""""
Dash tutorial (xbox),"""'A' button to dash""","""«A» para lanzarte""","""""A"" - рывок""","""""A"" para esquivar""","""""A"" pour s'élancer""","""»A« zum Gleiten""","""Tryck 'A' för att rulla""","""Mash th' ""A"" ta set sail""",,""""""
Dash tutorial (ps4),"""Square button to dash""","""«Cuadrado» para lanzarte""","""Квадрат - рывок""","""Quadrado para deslizar""","""""Carré"" pour s'élancer""","""»Quadrat« zum Gleiten""","""Tryck 'Kvadrat' för att rulla""","""Mash th' square ta set sail""",,""""""
Dash tutorial (keyboard),"""Right mouse to dash""","""«Clic derecho» para lanzarte""","""ПКМ - рывок""","""Clique direito para deslizar""","""""Clic droit"" pour s'élancer""","""Rechtsklick zum Gleiten""","""Tryck på högra musknappen för att rulla""","""Mash th' right rat button ta set sail""",,""""""
Intro 1,"""I think this is the place..""","""Creo que este es el lugar...""","""Похоже это то место""","""Acho que o lugar é esse...""","""Je pense que c'est ici..""","""Ich glaube, dies ist der Ort...""","""Jag tror dethär är stället""","""X marks tha spot... this better be it!""",,""""""
"Intro 2 (Magical gibberish, dont translate)","""Ven Nebrae!""","""¡Ven Nebrae!""","""Ven Nebrae!""","""Ven Nebrae!""","""Ven Nebrae!""","""Ven Nebrae!""","""Ven Nebrae!""","""Ven Nebrae!""",,""""""
"Intro 3 (Magical gibberish, dont translate)","""Ergisci Lianthus!""","""¡Ergisci Lianthus!""","""Ergisci Lianthus!""","""Ergisci Lianthus!""","""Ergisci Lianthus!""","""Ergisci Lianthus!""","""Ergisci Lianthus!""","""Ergisci Lianthus!""",,""""""
Intro 4,"""Did it work?""","""¿Funcionó?""","""Сработало?""","""Funcionou?""","""Est-ce que ça a marché?""","""Hat es funktioniert?""","""Funkade det?""","""Arrr, did it work?""",,""""""
Intro 5,"""Oh no!""","""¡Ay no!""","""О нет!""","""Oh não!""","""Oh non!""","""Oh nein!""","""Åh Nej!""","""Shiver me timbers!""",,""""""
Witch 1,"""You're alive?""","""¿Estás vivo?""","""Ты живой?""","""Você está vivo?""","""Vous êtes vivant?""","""Du bist am Leben?""","""Lever du?""","""Yo ho, a dead man tells no tales!""",,""""""
Witch 2,"""The spell must have revived you!""","""¡El hechizo debe haberte revivido!""","""Заклинание должно было тебя оживить!""","""O feitiço deve ter revivido você!""","""Le sort a dû vous réveiller!""","""Der Spruch muss dich wiederbelebt haben! ""","""Trollformeln måste ha återupplivat dig""","""Th' voodoo magic musta brought ye back!""",,""""""
Witch 3,"""That man to the East tricked me..""","""El hombre del este me engañó...""","""Тот человек с Востока обманул меня...""","""O homem do leste me enganou...""","""Cet homme à l'Est m'a piégé..""","""Dieser Mann im Osten hat mich reingelegt...""","""Mannen i öst lurade mig...""","""Tha lad to th' east played me like a damn fiddle!""",,""""""
Witch 4,"""And now I've unleashed the darkness.""","""Y ahora he liberado la oscuridad.""","""И теперь я выпустила тьму.""","""E agora eu libertei a escuridão.""","""Et maintenant, j'ai libéré l'obscurité.""","""Und jetzt habe ich die Dunkelheit entfesselt!""","""Och nu har jag släppt ut mörkret.""","""I've unleashed davey jones' locker.""",,""""""
Witch 5,"""It's all my fault!""","""¡Todo es mi culpa! ""","""Это моя вина!""","""É tudo culpa minha!""","""Tout est de ma faute!""","""Es ist alles meine Schuld!""","""Allt är mitt fel!""","""Now we've got tha devil to pay!""",,""""""
Witch 6 - after unlocking throw,"""You've been into the darkness now..""","""Ya has estado en la oscuridad...""","""Теперь ты побывал во тьме..""","""Você já esteve na escuridão...""","""Vous êtes allé dans l'obscurité..""","""Nun bist du in der Dunkelheit gewesen... ""","""Nu har du varit inne i mörkret...""","""Arr... ye've been in the bilge...""",,""""""
Witch 7 - after unlocking throw,"""I wonder what it's like.""","""Me pregunto cómo será.""","""Интересно, каково это?""","""Eu me pergunto como deve ser.""","""Je me demande comment c'est. ""","""Ich frage mich, wie es wohl ist... ""","""Jag undrar hur det är där.""","""I've yet to dive in...""",,""""""
Witch 8 - after unlocking dash,"""You seem different now Skele..""","""Pareces haber cambiado, Skele...""","""Ты кажешься другим Скеле...""","""Você parece diferente, Skele...""","""Tu a l'air différent maintenant Skele..""","""Du scheinst dich verändert zu haben, Skele...""","""Du verkar annorlunda Skele...""","""Ya seem like ya've changed, rattlebones...""",,""""""
Witch 9 - after unlocking dash,"""Could it be that you're magic too?""","""¿Podrá ser que eres mágico también?""","""Возможно ты тоже волшебный?""","""Pode ser que você seja um mágico também?""","""Se pourrait-il que tu sois magique toi aussi?""","""Könnte es sein, dass du auch magisch bist?""","""Kan det vara så att du också är magisk?""","""Are ya practicin' tha witchcraft as well?""",,""""""
Witch 10 - after unlocking charge,"""Did you meet the man to the east?""","""¿Te encontraste con el hombre del este?""","""Ты встретил человека с Востока?""","""Você conheceu o homem do leste?""","""As-tu rencontré l'homme à l'Est?""","""Hast du den Mann im Osten getroffen?""","""Mötte du manen i öst?""","""Ya've met with tha lad to th' east?""",,""""""
Witch 11- after unlocking charge,"""Why would he trick me?""","""¿Por qué me engañaría?""","""Почему он меня обманул?""","""Por que ele iria me enganar?""","""Pourquoi m'aurait-il piégé?""","""Warum würde er mich hereinlegen wollen?""","""Varför lurade han mig?""","""Why's he dancin' with tha devil?""",,""""""
Witch 12 - after unlocking charge,"""That spell hurt the forest.""","""Ese hechizo dañó el bosque.""","""Это заклинание поранило лес.""","""O feitiço danificou a floresta.""","""Ce sort a fait mal à la forêt.""","""Dieser Spruch hat den Wald verletzt.""","""Trollformeln skadade skogen""","""Witchcraft is hurtin' tha landlubber's ocean...""",,""""""
Witch 13 - after unlocking charge,"""But I guess it also revived you Skele!""","""¡Pero supongo que también te revivió, Skele!""","""Но оно также воскресило тебя, Скеле!""","""Mas eu acho que também reviveu você, Skele.""","""Mais il t'a aussi ramené à la vie Skele!""","""Aber ich nehme an dass er dich auch wiederbelebt hat, Skele!""","""Men den återupplivade ju dig också Skele!""","""But it brought ye back, rattlebones!""",,""""""
Witch 14 - after defeating dog,"""I think the darkness is weaker now.""","""Creo que la oscuridad está más débil ahora.""","""Кажется, тьма стала слабее""","""Acredito que a escuridão está mais fraca agora.""","""Je pense que l'obscurité est plus faible désormais.""","""Ich finde, die Dunkelheit ist schwächer geworden.""","""Jag tror att mörkret är svagare nu""","""I think tha bilge is weak'r now.""",,""""""
Witch 15 - after defeating dog,"""Did you fix something Skele?""","""¿Arreglaste algo, Skele?""","""Это ты исправил что-то Скеле?""","""Você consertou alguma coisa, Skele?""","""As-tu réparé quelque chose Skele?""","""Hast du etwas in Ordnung gebracht, Skele?""","""Fixade du något Skele?""","""Did ya fix somthin'?""",,""""""
Witch 16 - after defeating dog,"""The forest feels safer now.""","""Ahora el bosque se siente más seguro.""","""Теперь лес кажется безопаснее""","""Agora a floresta parece mais segura.""","""La forêt semble plus sûre maintenant.""","""Der Wald fühlt sich jetzt sicherer an.""","""Skogen känns säkrare nu.""","""Tha landlubber's ocean feels safer now.""",,""""""
Witch Dark 1,"""It's so dark..""","""Está tan oscuro...""","""Так темно..""","""Está tão escuro...""","""Il fait si sombre..""","""Es ist so dunkel...""","""Det är så mörkt...""","""Arrr.... tha world's pitch black""",,""""""
Witch Dark 2,"""I don't want to open my eyes.""","""No quiero abrir los ojos.""","""Не хочется открывать глаза""","""Não quero abrir os olhos.""","""Je ne veux pas ouvrir les yeux.""","""Ich will meine Augen nicht öffnen.""","""Jag vill inte öppna mina ögon""","""I should be wearin' two eyepatches...""",,""""""
Palette Unlocked,"""palettes unlocked""","""Paletas de colores desbloqueadas.""","""смена палитры разблокирована""","""Paletas de cores desbloqueadas""","""Palettes débloquées ""","""Paletten freigeschaltet""","""Palleter Upplåsta""","""booty unlocked""",,""""""
Boy 1,"""Are you a friendly Skele?""","""¿Eres un Skele amigable?""","""Ты дружелюбный, Скеле?""","""Você é um Skele amigável?""","""Tu veux être mon ami?""","""Bist du ein freundlicher Skele? ""","""Är du ett vänligt Skele?""","""Are ya a friend or a foe, mate?""",,""""""
Boy 2,"""I came here to see the witch girl..""","""Vine para ver la niña bruja.""","""Я пришёл повидать ведьмочку.""","""Eu vim aqui pra ver a garota bruxa.""","""Je suis venu ici pour voir la sorcière.""","""Ich bin hergekommen um das Hexenmädchen zu sehen... ""","""Jag kom hit för att träffa häx-flickan""","""I came ta see th' magic lass...""",,""""""
Boy 3,"""People in town don't believe in witches.""","""La gente del pueblo no cree en las brujas.""","""Люди в городе не верят в ведьм.""","""As pessoas na cidade não acreditam em bruxas.""","""En ville, les gens ne croient pas aux sorcières.""","""Städter glauben nicht an Hexen. ""","""Folket i stan tror inte på häxor""","""Me crew don't think witchcraft is real!""",,""""""
Boy 4,"""But I can't find the way home!""","""¡Pero no puedo encontrar el camino a casa!""","""Но я не могу найти дорогу домой!""","""Mas eu não consigo acharo caminho de casa!""","""Mais je n'arrive pas à trouver le chemin de la maison!""","""Aber ich finde den Heimweg nicht mehr!""","""Men jag kan inte hitta hem!""","""Arrr.. I'm lost without me map!""",,""""""
Boy 5,"""The forest got scary..""","""El bosque se puso aterrador...""","""Лес стал таким страшным..""","""A floresta ficou assustadora...""","""La forêt est devenue effrayante..""","""Der Wald wurde unheimlich... ""","""Skogen blev läskig...""","""Can't stand bein' away from th' ocean...""",,""""""
Boy 6 - after unlocking dash,"""Things are whispering from the trees.""","""Escucho susurros entre los arboles.""","""Я слышу чей-то шепот""","""Escuto sussurros vindo das árvores.""","""Il y a des choses qui murmurent dans les arbres.""","""Aus den Bäumen flüstert es... ""","""Saker viskar från träden.""","""Arrr... th' trees be whisperin'""",,""""""
Boy 7 - after unlocking dash,"""I feel like it's all closing around me.""","""Siento que me quedo encerrado.""","""Я чувствую будто оно давит со всех сторон""","""Eu sinto como se tudo tivesse se fechando ao meu redor.""","""J'ai l'impression que tout se referme autour de moi.""","""Es fühlt sich an als ob mich alles um mich herum einschließen würde ""","""Det känns som att det stängs runt om mig.""","""I feel somethin' creepin' in closer...""",,""""""
Boy 8 - after unlocking dash,"""But it's better when you're here skele.""","""Pero es mejor cuando tu estas aquí, Skele.""","""Но мне лучше, когда ты рядом, Скеле""","""Mas é melhor quando você está aqui, Skele.""","""Mais c'est mieux quand tu es là Skele.""","""Aber wenn du bei mir bist, ist es besser, Skele. ""","""Men det känns bättre när du är här Skele.""","""But it's safer with ya here, rattlebones!""",,""""""
